,Total_in_slice,Lowest_lon,Highest_lon,Lowest_lat,Highest_lat
raster_fulrez_4326_5.0e+05_to_1.0e+06,121774152,-130,-63,21,52
raster_fulrez_4326_5.0e+05_to_1.0e+06_none_with_0,121774152,-130,-63,21,52
raster_lowres_4326_5.0e+05_to_1.0e+06,121774136,-130,-63,21,52
raster_fulrez_5070_5.0e+05_to_1.0e+06_none_with_0,152505968,-2492545,2342455,177785,3309785
raster_cf_nc_4326_5.0e+05_to_1.0e+0,80779144,-180,179,-90,90
