,Total_in_slice,Lowest_lon,Highest_lon,Lowest_lat,Highest_lat
raster_fulrez_4326_1.0e+06_to_1.5e+06,700357760,-130,-63,21,52
raster_fulrez_4326_1.0e+06_to_1.5e+06_none_with_0,700357760,-130,-63,21,52
raster_lowres_4326_1.0e+06_to_1.5e+06,700357376,-130,-63,21,52
raster_fulrez_5070_1.0e+06_to_1.5e+06_none_with_0,700519808,-2492545,2342455,177785,3309785
raster_cf_nc_4326_1.0e+06_to_1.5e+0,1474799835896528128,-180,179,-90,90
