,Total_in_slice,Lowest_lon,Highest_lon,Lowest_lat,Highest_lat,x_Resolution,y_Resolution
raster_fulrez_4326_1.8e+05_to_4.9e+05,436863.21875,-130.22872289866007,-63.67415458845555,21.752414658511853,52.87349156543791,0.01086250502859798,0.010862505028590874
raster_fulrez_4326_1.8e+05_to_4.9e+05_none_with_0,436863.21875,-130.22872289866007,-63.67415458845555,21.752414658511853,52.87349156543791,0.01086250502859798,0.010862505028590874
raster_lowres_4326_1.8e+05_to_4.9e+05,248.64329528808594,-130.00774112119058,-63.89513636592504,21.9758947252031,52.65001149874666,0.4528260599675775,0.45782263841110193
raster_fulrez_5070_1.8e+05_to_4.9e+05_none_with_0,567228.5625,-2492545.0,2342455.0,177785.0,3309785.0,1000.0,1000.0
raster_cf_nc_4326_1.8e+05_to_4.9e+0,568648.6071074542,-180.0,179.375,-90.0,90.0,0.625,0.5
